序号,运营商,充电站点标准名称,服务类型,区县具体地址,快充接口数,慢充接口数,地域范围,所在地类型,source_row,geocode_query,lon_wgs84,lat_wgs84,geocode_status,_lon,_lat,_status,_addr,corridor_kw_hint
1139,吉事能源,北科大体育馆地上充电站,社会公用,北京市海淀区学院路30号,6,14,四环至五环,教育院校,96,北京市海淀区学院路30号,116.358721,39.988013,ok,116.358721,39.988013,ok,北京市海淀区学院路30号,
1171,北京碧辟新能源,海淀区中关村资本大厦,社会公用,北京市海淀区学院路62号,4,0,二环至三环,商务办公区,99,北京市海淀区学院路62号,116.346385,39.976945,ok,116.346385,39.976945,ok,北京市海淀区学院路62号,
1200,北京电力公司,北京市海淀区友谊宾馆充电站,社会公用,北京市海淀区中关村南大街1号,4,2,二环至三环,酒店宾馆,103,北京市海淀区中关村南大街1号,116.313407,39.962949,ok,116.313407,39.962949,ok,北京市海淀区中关村南大街1号,
1216,润诚达,北京舞蹈学院,社会公用,北京市海淀区万寿寺路1号,6,0,二环至三环,教育院校,105,北京市海淀区万寿寺路1号,116.313084,39.945752,ok,116.313084,39.945752,ok,北京市海淀区万寿寺路1号,
1294,智通充电,八家嘉园园区地面停车位,社会公用,海淀区月泉路八家嘉园园区地面停车场,0,6,四环至五环,公共停车场,107,北京市海淀区月泉路八家嘉园园区地面停车场,116.337303,40.015175,ok,116.337303,40.015175,ok,海淀区月泉路八家嘉园园区地面停车场,
1302,智通充电,八家嘉园地下停车场,社会公用,海淀区月泉路八家嘉园地下停车场,0,7,四环至五环,公共停车场,110,北京市海淀区月泉路八家嘉园地下停车场,116.337145,40.014301,ok,116.337145,40.014301,ok,海淀区月泉路八家嘉园地下停车场,
1332,吉事能源,北京金五星科技园充电站,社会公用,北京市海淀区中关村东路118号南门停车场,24,0,三环至四环,科技园区,112,北京市海淀区中关村东路118号南门停车场,116.32873,39.967484,ok,116.32873,39.967484,ok,北京市海淀区中关村东路118号南门停车场,
1448,惠车充,北京国际大厦,社会公用,北京市海淀区北下关街道中关村南大街甲18号北京·国际大厦北侧,8,0,二环至三环,商务办公区,120,北京市海淀区北下关街道中关村南大街甲18号北京·国际大厦北侧,116.318138,39.952598,ok,116.318138,39.952598,ok,北京市海淀区北下关街道中关村南大街甲18号北京·国际大厦北侧,
1452,一充科技,北京海淀嘉豪国际充电站,社会公用,北京市海淀区嘉豪国际大厦地面停车场,8,0,三环至四环,商务办公区,121,北京市海淀区嘉豪国际大厦地面停车场,116.318138,39.952598,ok,116.318138,39.952598,ok,北京市海淀区嘉豪国际大厦地面停车场,
1703,开迈斯,北京市海淀区京果商厦直流站,社会公用,四道口路2号,3,0,二环内,商务办公区,142,北京市四道口路2号,116.339346,39.958815,ok,116.339346,39.958815,ok,四道口路2号,
1707,开迈斯,北京市海淀文化艺术大厦直流站,社会公用,北京市海淀区中关村街道知春路海淀剧院中关村大街与知春路交叉口东侧108米,16,0,二环内,商务办公区,143,北京市海淀区中关村街道知春路海淀剧院中关村大街与知春路交叉口东侧108米,116.318801,39.974041,ok,116.318801,39.974041,ok,北京市海淀区中关村街道知春路海淀剧院中关村大街与知春路交叉口东侧108米,
1709,特来电,中国人民大学立德楼地库充电站,社会公用,北京市市辖区海淀区海淀街道中国人民大学,2,6,三环至四环,教育院校,144,北京市市辖区海淀区海淀街道中国人民大学,116.313701,39.968989,ok,116.313701,39.968989,ok,北京市市辖区海淀区海淀街道中国人民大学,
1719,吉事能源,吉事充五道口嘉园充电站,社会公用,北京市海淀区学院路街道暂安处2号院五道口嘉园,6,0,四环至五环,公共停车场,146,北京市海淀区学院路街道暂安处2号院五道口嘉园,116.333521,39.988632,ok,116.333521,39.988632,ok,北京市海淀区学院路街道暂安处2号院五道口嘉园,
1762,开迈斯,北京市海淀区大钟寺怡和8号院直流站,社会公用,北京市海淀区四道口北街大钟寺8号,8,0,二环至三环,商务办公区,149,北京市海淀区四道口北街大钟寺8号,116.333273,39.96541,ok,116.333273,39.96541,ok,北京市海淀区四道口北街大钟寺8号,
2034,北京碧辟新能源,海淀区蓝景丽家大钟寺充电站,社会公用,中关村街道北三环西路219号,18,0,五环至六环,商业区,159,北京市中关村街道北三环西路219号,116.32362,39.96746,ok,116.32362,39.96746,ok,中关村街道北三环西路219号,
2327,广州小鹏,北京蓝景丽家大钟寺家居S4小鹏超快充站,社会公用,蓝景丽家地面车位（入口：北三环西路辅路），北京市海淀区北三环西路23号院,6,0,三环至四环,商业区,174,蓝景丽家地面车位（入口：北三环西路辅路），北京市海淀区北三环西路23号院,116.323177,39.965854,ok,116.323177,39.965854,ok,蓝景丽家地面车位（入口：北三环西路辅路），北京市海淀区北三环西路23号院,
2368,中石油昆仑网电,中国矿业大学学院路校区充电站,社会公用,北京海淀区学院路丁11号东1们进直行500米右转再直行200米侧逸夫楼旁边,4,6,四环至五环,教育院校,181,北京市北京海淀区学院路丁11号东1们进直行500米右转再直行200米侧逸夫楼旁边,116.342183,39.996189,ok,116.342183,39.996189,ok,北京海淀区学院路丁11号东1们进直行500米右转再直行200米侧逸夫楼旁边,
2412,蔚来,蔚来超充站北京清河水木天成,社会公用,北京市海淀区G6辅路与清河路交叉口东北方向60米,2,0,五环至六环,体育场馆,188,北京市海淀区G6辅路与清河路交叉口东北方向60米,116.344567,40.025945,ok,116.344567,40.025945,ok,北京市海淀区G6辅路与清河路交叉口东北方向60米,
2500,京电博源,（公共站）北京市海淀区中关村集成电路设计园2号楼C座地下二层停车场公共充电站,社会公用,北京市海淀区中关村集成电路设计园2号楼D座地下二层停车场,8,2,五环至六环,村镇,194,北京市海淀区中关村集成电路设计园2号楼D座地下二层停车场,116.345321,39.983166,ok,116.345321,39.983166,ok,北京市海淀区中关村集成电路设计园2号楼D座地下二层停车场,
2501,京电博源,（公共站）北京市海淀区中关村集成电路设计园2号楼D座地下二层停车场公共充电站,社会公用,北京市海淀区中关村集成电路设计园2号楼D座地下二层停车场,8,2,五环至六环,村镇,195,北京市海淀区中关村集成电路设计园2号楼D座地下二层停车场,116.345321,39.983166,ok,116.345321,39.983166,ok,北京市海淀区中关村集成电路设计园2号楼D座地下二层停车场,
