序号,运营商,充电站点标准名称,服务类型,区县具体地址,快充接口数,慢充接口数,地域范围,所在地类型,source_row,geocode_query,lon_wgs84,lat_wgs84,geocode_status
1127,北京电力公司,北京市海淀区五棵松体育中心充电站,社会公用,北京市海淀区复兴路69号华熙liveB2停车场A区,80,120,三环至四环,大型商业购物中心,92,北京市海淀区复兴路69号华熙liveB2停车场A区,116.272905,39.908698,ok
1129,新巢智能,益园文化创意产业基地,社会公用,北京市海淀区杏石口路80号益园文化产业基地,10,5,四环至五环,产业园区,93,北京市海淀区杏石口路80号益园文化产业基地,116.22988,39.952764,ok
1135,京能电力,北京市海淀区大运村立体停车设施充储站,社会公用,知春路与新村路交叉口西北角,40,0,三环至四环,公共停车场,94,北京市知春路与新村路交叉口西北角,116.447871,39.744056,ok
1138,一充科技,北京海淀沁春汇充电站,社会公用,建材城西路62号北京沁春家园北门外地面停车场,6,0,五环至六环,商业区,95,北京市建材城西路62号北京沁春家园北门外地面停车场,116.3309,40.05518,ok
1139,吉事能源,北科大体育馆地上充电站,社会公用,北京市海淀区学院路30号,6,14,四环至五环,教育院校,96,北京市海淀区学院路30号,116.358721,39.988013,ok
1140,新巢智能,金园国际中心,社会公用,北京市海淀区东冉北街9号,6,12,四环至五环,产业园区,97,北京市海淀区东冉北街9号,116.263929,39.955492,ok
1163,北京碧辟新能源,海淀区中华世纪坛停车场,社会公用,北京市海淀区复兴路甲9号,4,0,二环至三环,旅游景点,98,北京市海淀区复兴路甲9号,116.315334,39.909563,ok
1171,北京碧辟新能源,海淀区中关村资本大厦,社会公用,北京市海淀区学院路62号,4,0,二环至三环,商务办公区,99,北京市海淀区学院路62号,116.346385,39.976945,ok
1173,吉事能源,北京中关村西区地下充电站,社会公用,北京市海淀区彩和坊路8号地下车库B3层H区,0,30,三环至四环,商务办公区,100,北京市海淀区彩和坊路8号地下车库B3层H区,116.302994,39.980443,ok
1198,北京电力公司,北京市海淀区中间艺术区城市充电站,社会公用,北京市海淀区杏石口路南,3,6,四环至五环,商业区,101,北京市海淀区杏石口路南,116.227705,39.952065,ok
1199,北京电力公司,北京市海淀区玉泉商业中心停车场充电站,社会公用,北京市海淀区玉泉路6号院,8,0,四环至五环,商业区,102,北京市海淀区玉泉路6号院,116.247817,39.922532,ok
1200,北京电力公司,北京市海淀区友谊宾馆充电站,社会公用,北京市海淀区中关村南大街1号,4,2,二环至三环,酒店宾馆,103,北京市海淀区中关村南大街1号,116.313407,39.962949,ok
1201,北京电力公司,北京市海淀区首都师范大学东1区公共充电站,社会公用,北京市海淀区白锥子甲23号院,8,0,二环至三环,教育院校,104,北京市海淀区白锥子甲23号院,116.291624,39.958634,ok
1216,润诚达,北京舞蹈学院,社会公用,北京市海淀区万寿寺路1号,6,0,二环至三环,教育院校,105,北京市海淀区万寿寺路1号,116.313084,39.945752,ok
