序号,运营商,充电站点标准名称,服务类型,区县具体地址,快充接口数,慢充接口数,地域范围,所在地类型
1956,利嘉新能源,延庆区医院北侧停车场充电站,社会公用,北京市延庆区医院内北侧停车场,12,0,六环外,公共停车场
1957,京西速电,枣园玫瑰城购物中心充电站,社会公用,北京大兴玫瑰城商业中心地面停车场,30,0,五环至六环,公共停车场
1958,汐歌儿,（公共站）汐歌儿马驹桥小周易优易充小站,社会公用,北京市通州区马驹桥镇小周易村西口,24,0,六环外,产业园区
1959,优智新能源,安华路停车楼充电站,社会公用,朝阳区安华路17号,16,0,二环至三环,商业区
1960,首狮昌泰,首钢园六工汇购物中心PD停车场B1充电站,社会公用,六工汇PD停车场B1,11,42,五环至六环,科技园区
1961,首狮昌泰,首钢园六工汇PE停车场充电站,社会公用,六工汇PE停车场充电站,3,22,五环至六环,科技园区
1962,首狮昌泰,首钢园六工汇PB停车场充电站,社会公用,六工汇PB停车场,12,45,五环至六环,科技园区
1963,首狮昌泰,首钢园六工汇PA停车场充电站,社会公用,六工汇PA停车场,12,51,五环至六环,科技园区
1964,首狮昌泰,首钢园六工汇购物中心PD停车场B2充电站,社会公用,六工汇PD停车场B2,10,43,五环至六环,科技园区
1965,首狮昌泰,首钢园六工汇PF停车场充电站,社会公用,六工汇PF停车场,9,34,五环至六环,科技园区
1966,环铁汽服,中国电影博物馆充电站,社会公用,崔各庄乡南影路9号,14,0,五环至六环,公共停车场
1967,天开快充,北京市朝阳区横街子3号充电站,社会公用,十八里店乡横街子3号停车场,0,24,四环至五环,公共停车场
1968,开迈斯,北京市金辉大厦直流站,社会公用,北京市朝阳区望京东园4区6号地下停车入口进入地下负二层,6,0,四环至五环,商务办公区
1969,开迈斯,北京市延庆区万达广场地下直流站,社会公用,北京市延庆区庆园街59号新城街西入口地下负二层停车场,6,0,六环外,商业区
1970,华商信联,港澳中心瑞士酒店,社会公用,东城区朝阳门北大街2号东门,0,5,二环至三环,其他
1971,利嘉新能源,延庆区希尔顿酒店停车场充电站,社会公用,延庆区希尔顿酒店地下停车场,1,40,六环外,酒店宾馆
1972,特来电,北京市丰台集美日新三期充电站,社会公用,大红门街道南四环中路辅路集美家居,4,0,三环至四环,商业区
1973,特来电,奥迪充电站北京中海环宇荟,社会公用,安定路5号院6号楼B3层068、069、070,2,0,三环至四环,车企4S店
1974,特来电,奥迪充电站北京富力广场,社会公用,广渠门外大街180号B2层A285、A286、A287,2,0,三环至四环,大型商业购物中心
1975,特来电,凯迪拉克IQ尊享超充站（太阳宫广场站）,社会公用,太阳宫中路太阳宫广场B3层07~10车位,4,0,三环至四环,大型商业购物中心
1976,特来电,奥迪充电站北京SKP-S,社会公用,建国路86号B3-北059-061,2,0,三环至四环,产业园区
1977,特来电,奥迪充电站北京亦庄山姆,社会公用,亦庄文化园东路6号亦庄创意生活广场,4,0,五环至六环,商业区
1978,特来电,奥迪充电站北京水魔方,社会公用,吴家村路小瓦窑西路停车场西路鑫苑充电站地面014-015-016号（3个）车位,2,0,五环至六环,商业区
1979,特来电,北京中海国际中心充电站,社会公用,新街口街道中海国际中心B2层,10,0,二环内,商业区
1980,海悦明宇,北京房山区饶乐府村充电站,社会公用,北京市房山区城关街道饶乐府新村万利广场,24,0,六环外,公共停车场
1981,睿科普盛,睿科普盛防震减灾教育公园充电桩,社会公用,紫竹院路正福寺76号(四季青桥东),12,0,四环至五环,商务办公区
1982,国网北京新能源,方庄社区（通润商务会馆地上停车场）,社会公用,丰台区方庄芳古园一区29号,2,6,二环至三环,公共停车场
1983,国网北京新能源,北京市大兴区北京经济技术开发区经海四路亦城时代广场城市公共充电站,社会公用,大兴区经海四路22号院,6,0,五环至六环,大型商业购物中心
1984,国网北京新能源,北京市丰台区吴家场路1号院悦邻百姓广场城市公共充电站,社会公用,丰台区吴家场路1号院悦邻百姓广场,4,0,三环至四环,大型商业购物中心
1985,国网北京新能源,北京市朝阳区华润时代中心A座B2城市公共充电站,社会公用,朝阳区建国路35号,2,4,四环至五环,大型商业购物中心
1986,国网北京新能源,大兴新机场高速礼贤服务区充电站（机场方向）,社会公用,大兴区礼贤服务区,39,0,六环外,公共停车场
1987,国网北京新能源,北京市东城区金宝街首开千方停车场充电站,社会公用,东城区金宝街首开千方停车场,2,22,二环至三环,公共停车场
1988,京鑫清洁,北京亦庄中冀斯巴鲁超充,社会公用,荣华南路16号中冀斯巴鲁大厦,16,0,五环至六环,产业园区
1989,国网北京新能源,顺义区地上铁顺义李桥站,社会公用,顺义区1号路,40,0,五环至六环,物流园
1990,北京壳牌,壳牌漕运码头充电站,社会公用,北京市通州区云帆路漕运码头停车场,24,0,六环外,其他
1991,特来电,少城科技园,社会公用,马驹桥镇少城科技园少城大厦,6,2,六环外,物流园
1992,开迈斯,北京市怀柔区青春万达广场地下直流站,社会公用,北京市怀柔区府前西街1号院1号楼（青春路驶入地下负三层停车场）,3,0,六环外,商业区
1993,鲲鹏祥瑞,鲲鹏祥瑞天通苑充电站,社会公用,北京市昌平区太平庄北街与中滩村路交叉口北侧,36,0,六环外,公共停车场
1994,吉事能源,吉事充北京站充电站,社会公用,北京市东城区建国门街道北京站东街华通北京站停车场b2,8,0,二环内,公共停车场
1995,高平安,北京朝阳财满街锐城国际充电站,社会公用,北京市朝阳区朝阳路71号,24,0,四环至五环,商务办公区
1996,高平安,北京顺义易行佳盛停车场充电站,社会公用,北京市顺义区通顺路20号,22,0,六环外,其他
1997,高平安,北京通州九棵树东路（当代 名筑）充电站,社会公用,北京市通州区当代名筑家园南侧地面底商停车场,4,0,五环至六环,商务办公区
1998,燕房电力,鑫兆佳园综合楼充电站,社会公用,北京市朝阳区常营地区办事处鑫兆佳园社区居委会东苇路无东苇路9号鑫兆佳园综合楼地上停车场,12,0,五环至六环,大型商业购物中心
1999,零网盛世,顺义区李桥镇育才东路充电站,社会公用,北京市顺义区李桥镇育才东路,0,2,六环外,公共停车场
2000,燕房电力,燕房金海洋商业中心充电站,社会公用,北京市石景山区五里坨街道金海洋商业中心地面停车场西南侧,12,0,五环至六环,大型商业购物中心
2001,宇充新能源,北京朝阳国药集团北区充电站,社会公用,北京市朝阳区小关街道唱吧麦颂(惠新东桥店)富盛大厦地面停车场,4,0,三环至四环,商业区
2002,宇充新能源,北京朝阳国药集团南区充电站,社会公用,北京市朝阳区小关街道惠新东街4号富盛大厦地下B4停车场,4,0,三环至四环,商业区
2003,宇充新能源,北京朝阳东方郁金香充电站,社会公用,北京市朝阳区来广营乡东方郁金香地下B1停车场,12,0,五环至六环,其他
2004,北京壳牌,壳牌货运路充电站,社会公用,北京市顺义区府前二街1号院14幢停车场,20,0,五环至六环,公共停车场
2005,特斯拉上海,东方绿洲露营庄园,社会公用,北京市密云区河南寨镇山口庄村东方绿洲地面停车场,0,2,六环外,酒店宾馆
2006,特斯拉上海,中关村东升国际科学园,社会公用,北京市海淀区永泰庄北路1号东升科技园B-6号楼地下二层05-06,0,2,三环至四环,科技园区
2007,特斯拉上海,北京昌平歇歇脚儿营地,社会公用,北京市昌平区沙河镇北踩河新村157号地面停车场,0,2,六环外,酒店宾馆
2008,特斯拉上海,瓦厂酒店,社会公用,北京市怀柔渤海镇北沟村村南100米渤海镇北沟村村南100米,0,2,六环外,酒店宾馆
2009,特斯拉上海,北京壹隅千寻民宿,社会公用,北京市平谷区马昌营镇王各庄东大寺西街291号,0,2,六环外,酒店宾馆
2010,特斯拉上海,丽都皇冠假日酒店,社会公用,北京市将台路6号,0,2,四环至五环,酒店宾馆
2011,特斯拉上海,北京新云南皇冠假日酒店,社会公用,北京市朝阳区东北三环七圣中街12号地面停车场,0,2,三环至四环,酒店宾馆
2012,特斯拉上海,密云文化馆,社会公用,北京市密云区南更大街193号地面停车场,0,4,六环外,其他
2013,特斯拉上海,北京突破科技园,社会公用,北京市丰台区大红门久敬庄56号地面停车场,0,2,五环至六环,科技园区
2014,特斯拉上海,姚家园万象汇,社会公用,北京市朝阳区青年北路35号院1号楼姚家园万象汇B2层313、314、315、316、317,0,5,四环至五环,大型商业购物中心
2015,特斯拉上海,野金工厂,社会公用,北京怀柔区八西路,0,2,六环外,酒店宾馆
2016,特斯拉上海,北京一川温泉特色民宿,社会公用,北京市密云区太师屯镇东庄禾村13号院,0,2,六环外,酒店宾馆
2017,特斯拉上海,北京龙庆峡志勇民宿,社会公用,北京市延庆区北外大街26号地面停车场,0,2,六环外,酒店宾馆
2018,特斯拉上海,北京呢喃民宿,社会公用,北京市门头沟区赵家台老村8号地面停车场,0,2,六环外,酒店宾馆
2019,特斯拉上海,迈西卡威固后沙峪店,社会公用,北京市顺义区裕华路空港段24号朗姿购物中心地面停车场,0,4,六环外,大型商业购物中心
2020,特斯拉上海,野鸭部落,社会公用,北京市密云县北庄镇北庄村,0,2,六环外,酒店宾馆
2021,特斯拉上海,北京鹅和鸭农庄,社会公用,北京市怀柔区桥梓镇北宅村南,0,2,六环外,酒店宾馆
