机构名称,地址,邮政编码,区县代码,区县名称,经济类型名称,机构管理名称,source_row,geocode_query,lon_wgs84,lat_wgs84,geocode_status
北京市海淀区上地社区卫生服务中心(北京市海淀区东北旺中心卫生院),北京市海淀区西北旺二街5号,100094,110108,海淀区,国有全资,非营利性医疗机构,80,北京市海淀区西北旺二街5号,116.258218,40.048346,ok
北京市海淀区上地园区社区卫生服务中心,北京市海淀区上地西路52号,100085,110108,海淀区,国有全资,非营利性医疗机构,81,北京市海淀区上地西路52号,116.304668,40.028583,ok
北京市海淀区上庄镇八家村社区卫生服务站,北京市海淀区上庄镇八家村村委会,100194,110108,海淀区,国有全资,非营利性医疗机构,82,北京市海淀区上庄镇八家村村委会,116.181949,40.112681,ok
北京市海淀区上庄镇白水洼社区卫生服务站,北京市海淀区上庄卫生院三分场场部,100094,110108,海淀区,国有全资,非营利性医疗机构,83,北京市海淀区上庄卫生院三分场场部,116.206796,40.111193,ok
北京市海淀区上庄镇东马坊社区卫生服务站,北京市海淀区上庄镇东马坊村,102205,110108,海淀区,国有全资,非营利性医疗机构,84,北京市海淀区上庄镇东马坊村,116.203503,40.089468,ok
北京市海淀区上庄镇后章村社区卫生服务站,北京市海淀区上庄镇后章村,102205,110108,海淀区,国有全资,非营利性医疗机构,85,北京市海淀区上庄镇后章村,116.182949,40.125044,ok
北京市海淀区上庄镇梅所屯社区卫生服务站,北京市海淀区上庄镇梅所屯村委会,102206,110108,海淀区,国有全资,非营利性医疗机构,86,北京市海淀区上庄镇梅所屯村委会,116.226193,40.130136,ok
北京市海淀区上庄镇南玉河社区卫生服务站,北京市海淀区上庄镇南玉河村,100094,110108,海淀区,国有全资,非营利性医疗机构,87,北京市海淀区上庄镇南玉河村,116.213291,40.112454,ok
北京市海淀区上庄镇前章村社区卫生服务站,北京市海淀区上庄镇前章村,100094,110108,海淀区,国有全资,非营利性医疗机构,88,北京市海淀区上庄镇前章村,116.172044,40.123677,ok
北京市海淀区上庄镇三嘉信苑社区卫生服务站,北京三嘉信苑经济适用房小区6号1单元201,100094,110108,海淀区,国有全资,非营利性医疗机构,89,北京市北京三嘉信苑经济适用房小区6号1单元201,116.200018,40.126763,ok
北京市海淀区上庄镇上庄家园社区卫生服务站,北京市海淀区上庄镇政府北侧,100094,110108,海淀区,国有全资,非营利性医疗机构,90,北京市海淀区上庄镇政府北侧,116.20925,40.095547,ok
北京市海淀区上庄镇社区卫生服务中心（北京市海淀区上庄卫生院）,北京市海淀区上庄镇上庄村,100094,110108,海淀区,国有全资,非营利性医疗机构,91,北京市海淀区上庄镇上庄村,116.204937,40.107371,ok
北京市海淀区上庄镇西辛力屯社区卫生服务站,北京市海淀区上庄镇西辛力屯村,102205,110108,海淀区,国有全资,非营利性医疗机构,92,北京市海淀区上庄镇西辛力屯村,116.166922,40.139984,ok
北京市海淀区上庄镇西闸社区卫生服务站,北京市海淀区上庄镇西闸村,102205,110108,海淀区,国有全资,非营利性医疗机构,93,北京市海淀区上庄镇西闸村,116.196245,40.146322,ok
北京市海淀区上庄镇馨瑞家园社区卫生服务站,北京市海淀区上庄镇馨瑞家园,100094,110108,海淀区,国有全资,非营利性医疗机构,94,北京市海淀区上庄镇馨瑞家园,116.20925,40.095547,ok
北京市海淀区时雨园社区卫生服务站,北京市海淀区蓝靛厂时雨园甲1号甲1-2、甲1-3,100097,110108,海淀区,其他,非营利性医疗机构,95,北京市海淀区蓝靛厂时雨园甲1号甲1-2、甲1-3,116.275623,39.959966,ok
北京市海淀区曙光街道金雅园社区卫生服务站,北京市海淀区曙光街道金雅园6号楼底商104室,100097,110108,海淀区,国有全资,非营利性医疗机构,96,北京市海淀区曙光街道金雅园6号楼底商104室,116.271466,39.941764,ok
北京市海淀区曙光街道农林科学院社区卫生服务站,北京市海淀区西郊板井,100089,110108,海淀区,国有全资,非营利性医疗机构,97,北京市海淀区西郊板井,116.276864,39.940598,ok
北京市海淀区曙光街道世纪城社区卫生服务站,北京市海淀区曙光街道世纪城下沉广场,100097,110108,海淀区,国有全资,非营利性医疗机构,98,北京市海淀区曙光街道世纪城下沉广场,116.278697,39.958694,ok
